CO_IES|NO_IES|CO_CATEGORIA_ADMINISTRATIVA|DS_CATEGORIA_ADMINISTRATIVA|CO_ORGANIZACAO_ACADEMICA|DS_ORGANIZACAO_ACADEMICA|CO_CURSO|NO_CURSO|CO_OCDE|NO_OCDE|CO_OCDE_AREA_GERAL|NO_AREA_GERAL|CO_OCDE_AREA_ESPECIFICA|NO_AREA_ESPECIFICA|CO_OCDE_AREA_DETALHADA|NO_AREA_DETALHADA|CO_GRAU_ACADEMICO|CO_MODALIDADE_ENSINO|CO_NIVEL_ACADEMICO|IN_GRATUITO|TP_ATRIBUTO_INGRESSO|CO_LOCAL_OFERTA_IES|CO_MUNICIPIO_CURSO|NO_MUNICIPIO_CURSO|CO_UF_CURSO|SGL_UF_CURSO|NO_REGIAO_CURSO|NU_CARGA_HORARIA|DT_INICIO_FUNCIONAMENTO|DT_AUTORIZACAO_CURSO|IN_AJUDA_DEFICIENTE|IN_MATERIAL_DIGITAL|IN_MATERIAL_IMPRESSO|IN_MATERIAL_AUDIO|IN_MATERIAL_BRAILLE|IN_DISCIPLINA_LIBRAS|IN_GUIA_INTERPRETE|IN_MATERIAL_LIBRAS|IN_SINTESE_VOZ|IN_TRADUTOR_LIBRAS|IN_INTEGRAL_CURSO|IN_MATUTINO_CURSO|IN_NOTURNO_CURSO|IN_VESPERTINO_CURSO|NU_PERC_CARGA_HOR_DISTANCIA|NU_INTEGRALIZACAO_MATUTINO|NU_INTEGRALIZACAO_VESPERTINO|NU_INTEGRALIZACAO_NOTURNO|NU_INTEGRALIZACAO_INTEGRAL|IN_OFERECE_DISC_DISTANCIA|IN_UTILIZA_LABORATORIO|QT_INSCRITOS_ANO_EAD|QT_VAGAS_ANUAL_EAD|QT_VAGAS_INTEGRAL_PRES|QT_VAGAS_MATUTINO_PRES|QT_VAGAS_NOTURNO_PRES|QT_VAGAS_VESPERTINO_PRES|QT_INSCRITOS_MATUTINO_PRES|QT_INSCRITOS_VESPERTINO_PRES|QT_INSCRITOS_NOTURNO_PRES|QT_INSCRITOS_INTEGRAL_PRES|QT_MATRICULA_CURSO|QT_CONCLUINTE_CURSO|QT_INGRESSO_CURSO|QT_INGRESSO_PROCESSO_SELETIVO|QT_INGRESSO_OUTRA_FORMA
3307|FACULDADE INED DE RIO CLARO|4|Privada com fins lucrativos|3|Faculdade|104708|GESTÃO DA QUALIDADE|345G10|Gestão de qualidade|3|Ciências sociais, negócios e direito|34|Comércio e administração|345|Gerenciamento e administração|3|2|1|0|0|||||||1600|27AUG2007:00:00:00||0||||||||||0|0|0|0|||||||0|70|1000|||||||||21|15|0|0|0
583|UNIVERSIDADE FEDERAL DO CEARÁ|1|Pública Federal|1|Universidade|100375|LETRAS - LÍNGUA PORTUGUESA|145F15|Formação de professor de língua/literatura vernácula (português)|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|1|0|||||||3080|02APR2007:00:00:00||0||||||||||0|0|0|0|||||||1|0|0|||||||||841|0|0|0|0
3307|FACULDADE INED DE RIO CLARO|4|Privada com fins lucrativos|3|Faculdade|104706|GESTÃO DE RECURSOS HUMANOS|345G09|Gestão de pessoal / recursos humanos|3|Ciências sociais, negócios e direito|34|Comércio e administração|345|Gerenciamento e administração|3|2|1|0|0|||||||1600|27AUG2007:00:00:00||0||||||||||0|0|0|0|||||||0|75|1000|||||||||20|10|0|0|0
532|UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL|5|Privada sem fins lucrativos|1|Universidade|111060|PROCESSOS GERENCIAIS|345C01|Competências gerenciais|3|Ciências sociais, negócios e direito|34|Comércio e administração|345|Gerenciamento e administração|3|2|1|0|0|||||||1620|03MAR2008:00:00:00||1|0|0|0|1|1|0|1|1|1|0|0|0|0|||||||1|104|77|||||||||272|118|152|96|56
547|UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO|2|Pública Estadual|1|Universidade|100584|CIÊNCIAS BIOLÓGICAS|145F01|Formação de professor de biologia|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|1|0|||||||3330|06FEB2006:00:00:00||0||||||||||0|0|0|0|||||||0|150|60|||||||||270|0|0|0|0
367|UNIVERSIDADE ESTADUAL DE MONTES CLAROS|2|Pública Estadual|1|Universidade|120799|PEDAGOGIA|142P01|Pedagogia|1|Educação|14|Formação de professor e ciências da educação|142|Ciências da educação|2|2|1|1|0|||||||3920|31OCT2008:00:00:00||1|1|0|0|1|0|0|0|1|0|0|0|0|0|||||||1|0|0|||||||||21|0|0|0|0
576|UNIVERSIDADE FEDERAL DE JUIZ DE FORA|1|Pública Federal|1|Universidade|94692|MATEMÁTICA|145F18|Formação de professor de matemática|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|1|0|||||||2910|03JAN2005:00:00:00||0||||||||||0|0|0|0|||||||0|0|0|||||||||360|1|6|6|0
953|UNIVERSIDADE METROPOLITANA DE SANTOS|5|Privada sem fins lucrativos|1|Universidade|96657|CIÊNCIAS CONTÁBEIS|344C02|Ciências contábeis|3|Ciências sociais, negócios e direito|34|Comércio e administração|344|Contabilidade e tributação|1|2|1|0|0|||||||3100|10AUG2006:00:00:00||1|0|0|0|0|1|0|0|0|1|0|0|0|0|||||||0|2560|1000|||||||||354|41|195|195|0
585|UNIVERSIDADE FEDERAL DE SANTA CATARINA|1|Pública Federal|1|Universidade|113459|CIÊNCIAS BIOLÓGICAS|145F01|Formação de professor de biologia|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|1|0|||||||3125|11FEB2008:00:00:00||1|1|1|1|0|1|1|1|1|1|0|0|0|0|||||||0|0|0|||||||||94|0|0|0|0
135|CENTRO UNIVERSITÁRIO CLARETIANO|5|Privada sem fins lucrativos|2|Centro Universitário|89299|LETRAS - LÍNGUA PORTUGUESA|145F15|Formação de professor de língua/literatura vernácula (português)|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|0|0|||||||600|01FEB2006:00:00:00||1|0|0|0|0|1|0|0|0|0|0|0|0|0|||||||1|0|400|||||||||19|5|18|1|17
1270|CENTRO UNIVERSITÁRIO DO INSTITUTO DE ENSINO SUPERIOR COC|4|Privada com fins lucrativos|3|Faculdade|95400|LETRAS - INGLÊS|145F14|Formação de professor de língua/literatura estrangeira moderna|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|0|0|||||||3060|11AUG2006:00:00:00||1|1|1|1|0|1|1|1|1|1|0|0|0|0|||||||1|1248|5000|||||||||2424|487|881|758|123
494|UNIVERSIDADE DO SUL DE SANTA CATARINA|5|Privada sem fins lucrativos|1|Universidade|94387|GESTÃO DA TECNOLOGIA DA INFORMAÇÃO|481T01|Tecnologia da informação|4|Ciências, matemática e computação|48|Computação|481|Ciência da computação|3|2|1|0|0|||||||2000|12FEB2005:00:00:00||1|1|1|0|1|1|1|1|0|1|0|0|0|0|||||||0|1403|500|||||||||1893|352|836|665|171
1043|CENTRO UNIVERSITÁRIO HERMINIO OMETTO DE ARARAS|5|Privada sem fins lucrativos|2|Centro Universitário|1114523|ADMINISTRAÇÃO|345A01|Administração|3|Ciências sociais, negócios e direito|34|Comércio e administração|345|Gerenciamento e administração|1|2|1|0|0|||||||3400|05APR2010:00:00:00||1|0|0|0|0|1|0|0|0|0|0|0|0|0|||||||1|253|1000|||||||||204|0|220|0|220
634|UNIVERSIDADE FEDERAL DE PELOTAS|1|Pública Federal|1|Universidade|113907|MATEMÁTICA|145F18|Formação de professor de matemática|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|1|0|||||||3230|03MAR2008:00:00:00||1|0|0|0|0|1|0|0|0|0|0|0|0|0|||||||0|50|50|||||||||781|0|416|416|0
548|UNIVERSIDADE FEDERAL DO MARANHÃO|1|Pública Federal|1|Universidade|113781|QUÍMICA|145F21|Formação de professor de química|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|1|0|||||||3030|08OCT2007:00:00:00||0||||||||||0|0|0|0|||||||0|0|0|||||||||50|0|0|0|0
671|UNIVERSIDADE ANHANGUERA - UNIDERP|4|Privada com fins lucrativos|1|Universidade|87280|PEDAGOGIA|142P01|Pedagogia|1|Educação|14|Formação de professor e ciências da educação|142|Ciências da educação|2|2|1|0|0|||||||3500|25JUL2005:00:00:00||1|1|1|1|0|1|1|1|0|1|0|0|0|0|||||||1|11242|16800|||||||||8844|197|4810|4810|0
575|UNIVERSIDADE FEDERAL DE MINAS GERAIS|1|Pública Federal|1|Universidade|115258|GEOGRAFIA|443G05|Geografia (natureza)|4|Ciências, matemática e computação|44|Ciências físicas|443|Ciências da terra|1|2|1|1|0|||||||2925|25FEB2008:00:00:00||1|0|1|0|0|0|0|0|0|0|0|0|0|0|||||||1|0|0|||||||||19|0|2|0|2
367|UNIVERSIDADE ESTADUAL DE MONTES CLAROS|2|Pública Estadual|1|Universidade|120688|LETRAS - ESPANHOL|145F14|Formação de professor de língua/literatura estrangeira moderna|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|1|0|||||||3920|27MAR2009:00:00:00||1|1|0|0|1|0|0|0|1|0|0|0|0|0|||||||1|0|0|||||||||30|0|4|4|0
634|UNIVERSIDADE FEDERAL DE PELOTAS|1|Pública Federal|1|Universidade|1153383|LETRAS - ESPANHOL|145F14|Formação de professor de língua/literatura estrangeira moderna|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|0|0|||||||3252|||1|0|0|0|0|1|0|0|0|0|0|0|0|0|||||||0|250|50|||||||||1068|0|458|458|0
