NU_ANO_CENSO|CO_IES|TP_CATEGORIA_ADMINISTRATIVA|TP_ORGANIZACAO_ACADEMICA|CO_LOCAL_OFERTA|CO_UF|CO_MUNICIPIO|IN_CAPITAL|CO_CURSO|NO_CURSO|TP_SITUACAO|CO_CINE_ROTULO|TP_GRAU_ACADEMICO|TP_MODALIDADE_ENSINO|TP_NIVEL_ACADEMICO|IN_GRATUITO|TP_ATRIBUTO_INGRESSO|NU_CARGA_HORARIA|DT_INICIO_FUNCIONAMENTO|DT_AUTORIZACAO_CURSO|IN_AJUDA_DEFICIENTE|IN_MATERIAL_DIGITAL|IN_MATERIAL_AMPLIADO|IN_MATERIAL_TATIL|IN_MATERIAL_IMPRESSO|IN_MATERIAL_AUDIO|IN_MATERIAL_BRAILLE|IN_MATERIAL_LIBRAS|IN_DISCIPLINA_LIBRAS|IN_TRADUTOR_LIBRAS|IN_GUIA_INTERPRETE|IN_RECURSOS_COMUNICACAO|IN_RECURSOS_INFORMATICA|IN_INTEGRAL|IN_MATUTINO|IN_VESPERTINO|IN_NOTURNO|NU_INTEGRALIZACAO_INTEGRAL|NU_INTEGRALIZACAO_MATUTINO|NU_INTEGRALIZACAO_VESPERTINO|NU_INTEGRALIZACAO_NOTURNO|NU_INTEGRALIZACAO_EAD|IN_OFERECE_DISC_SEMI_PRES|NU_PERC_CARGA_SEMI_PRES|IN_POSSUI_LABORATORIO|QT_INSC_VAGA_NOVA_INTEGRAL|QT_INSC_VAGA_NOVA_MATUTINO|QT_INSC_VAGA_NOVA_VESPERTINO|QT_INSC_VAGA_NOVA_NOTURNO|QT_INSC_VAGA_NOVA_EAD|QT_INSC_VAGA_REMAN_INTEGRAL|QT_INSC_VAGA_REMAN_MATUTINO|QT_INSC_VAGA_REMAN_VESPERTINO|QT_INSC_VAGA_REMAN_NOTURNO|QT_INSC_VAGA_REMAN_EAD|QT_INSC_PROG_ESP_INTEGRAL|QT_INSC_PROG_ESP_MATUTINO|QT_INSC_PROG_ESP_VESPERTINO|QT_INSC_PROG_ESP_NOTURNO|QT_INSC_PROG_ESP_EAD|QT_INSC_PRINCIPAL_INTEGRAL|QT_INSC_PRINCIPAL_MATUTINO|QT_INSC_PRINCIPAL_VESPERTINO|QT_INSC_PRINCIPAL_NOTURNO|QT_INSC_PRINCIPAL_EAD|QT_INSC_OUTRA_VAGA_INTEGRAL|QT_INSC_OUTRA_VAGA_MATUTINO|QT_INSC_OUTRA_VAGA_VESPERTINO|QT_INSC_OUTRA_VAGA_NOTURNO|QT_INSC_OUTRA_VAGA_EAD|QT_INSC_ANUAL_INTEGRAL|QT_INSC_ANUAL_MATUTINO|QT_INSC_ANUAL_VESPERTINO|QT_INSC_ANUAL_NOTURNO|QT_INSC_ANUAL_EAD|QT_VAGAS_NOVAS_INTEGRAL|QT_VAGAS_NOVAS_MATUTINO|QT_VAGAS_NOVAS_VESPERTINO|QT_VAGAS_NOVAS_NOTURNO|QT_VAGAS_NOVAS_EAD|QT_VAGAS_REMAN_INTEGRAL|QT_VAGAS_REMAN_MATUTINO|QT_VAGAS_REMAN_VESPERTINO|QT_VAGAS_REMAN_NOTURNO|QT_VAGAS_REMAN_EAD|QT_VAGAS_PROG_ESP_INTEGRAL|QT_VAGAS_PROG_ESP_MATUTINO|QT_VAGAS_PROG_ESP_VESPERTINO|QT_VAGAS_PROG_ESP_NOTURNO|QT_VAGAS_PROG_ESP_EAD|QT_VAGAS_PRINCIPAL_INTEGRAL|QT_VAGAS_PRINCIPAL_MATUTINO|QT_VAGAS_PRINCIPAL_VESPERTINO|QT_VAGAS_PRINCIPAL_NOTURNO|QT_VAGAS_PRINCIPAL_EAD|QT_VAGAS_OUTRAS_INTEGRAL|QT_VAGAS_OUTRAS_MATUTINO|QT_VAGAS_OUTRAS_VESPERTINO|QT_VAGAS_OUTRAS_NOTURNO|QT_VAGAS_OUTRAS_EAD|QT_VAGAS_ANUAL_INTEGRAL|QT_VAGAS_ANUAL_MATUTINO|QT_VAGAS_ANUAL_VESPERTINO|QT_VAGAS_ANUAL_NOTURNO|QT_VAGAS_ANUAL_EAD|QT_MATRICULA_TOTAL|QT_CONCLUINTE_TOTAL|QT_INGRESSO_TOTAL|QT_INGRESSO_VAGA_NOVA|QT_INGRESSO_PROCESSO_SELETIVO|QT_VAGA_TOTAL|QT_INSCRITO_TOTAL
2019|1|1|1|105340|51|5103403|1|22118|LETRAS PORTUGUÊS E INGLÊS|1|0115L15|2|1|1|1|0|3612|11OCT1968:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|1||4.0||4.0||0||1||285||0|||0||0|||0||0||||||||||||||||||30||0|||0||0|||0||0|||||||||||||||||80|9|27|27||30|285
2019|1|1|1|1005348|51|5107602|0|22837|LETRAS - LÍNGUA PORTUGUESA|1|0115L13|2|1|1|1|0|3320|27JAN1981:00:00:00||1|0|1|0|0|0|0|0|1|0|0|0|0|0|1|1|0||4.0|4.0|||0||1||0|231||||0|9||||0|0|||||||||||||||||||0|48||||0|12||||0|0||||||||||||||||||109|20|35|28||60|240
2019|1|1|1|105340|51|5103403|1|25902|LETRAS PORTUGUÊS E FRANCÊS|1|0115L14|2|1|1|1|0|3612|11OCT1968:00:00:00||1|0|0|0|0|0|0|0|1|1|0|0|0|0|1|0|1||4.0||4.0||0||1||139||0|||0||0|||0||0||||||||||||||||||20||0|||0||0|||0||0|||||||||||||||||58|5|20|20||20|139
2019|1|1|1|105340|51|5103403|1|25903|LETRAS - PORTUGUÊS E LITERATURAS|1|0115L13|2|1|1|1|0|3612|11OCT1968:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|1||4.0||4.0||0||1||0||262|||0||0|||0||0||||||||||||||||||0||25|||0||0|||0||0|||||||||||||||||78|12|25|25||25|262
2019|1|1|1|146660|51|5101803|0|25949|LETRAS - LÍNGUA PORTUGUESA|1|0115L13|2|1|1|1|0|3352|23MAR1981:00:00:00||1|0|0|0|1|0|0|1|1|1|0|0|0|0|0|0|1||||4.0||0||1||||322|||||16|||||0||||||||||||||||||||49|||||8|||||0|||||||||||||||||151|34|54|46||57|338
2019|1|1|1|105340|51|5103403|1|26025|LETRAS PORTUGUÊS E ESPANHOL E RESPECTIVAS LITERATURAS|1|0115L12|2|1|1|1|0|3612|11OCT1968:00:00:00||0|||||||||||||0|1|0|1||4.0||4.0||0||1||0||260|||0||0|||0||0||||||||||||||||||0||25|||0||0|||0||0|||||||||||||||||72|9|25|25||25|260
2019|1|1|1|105340|51|5103403|1|31373|COMUNICAÇÃO SOCIAL  - RADIALISMO|3|0321R01|1|1|1|1|0|2880|05DEC1990:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0||4.0||||0||1||0|||||0|||||0||||||||||||||||||||0|||||0|||||0|||||||||||||||||||57|13|0|0||0|0
2019|1|1|1|1005348|51|5107602|0|41673|BIBLIOTECONOMIA|1|0322B01|1|1|1|1|0|2625|01AUG1999:00:00:00||1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|1||||4.0||0||1||||250|||||7|||||0||||||||||||||||||||43|||||12|||||0|||||||||||||||||101|2|18|13||55|257
2019|1|1|1|1005348|51|5107602|0|41687|INFORMÁTICA|3|0114C05|2|1|1|1|0|3728|10JAN2001:00:00:00||1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0||4.0||||0||1||0|||||0|||||0||||||||||||||||||||0|||||0|||||0|||||||||||||||||||0|0|0|0||0|0
2019|1|1|1|1005347|51|5106653|0|41690|CIÊNCIAS BIOLÓGICAS|1|0114B01|2|1|1|1|0|3448|01JAN1987:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1||||4.0||0||1||||244|||||0|||||0||||||||||||||||||||45|||||0|||||0|||||||||||||||||116|9|35|35||45|244
2019|1|1|1|1005348|51|5107602|0|62906|ZOOTECNIA|1|0811Z01|1|1|1|1|0|3856|01JAN2002:00:00:00||1|1|0|0|1|0|0|0|1|1|1|0|0|1|0|0|0|5.0|||||0||1|574|||||13|||||0||||||||||||||||||||66|||||22|||||0||||||||||||||||||||262|22|69|63||88|587
2019|1|1|1|105340|51|5103403|1|62936|JORNALISMO|1|0321J01|1|1|1|1|0|3136|30JAN1990:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0||4.0||||0||1||425|||||21|||||0||||||||||||||||||||40|||||2|||||0|||||||||||||||||||130|13|42|40||42|446
2019|1|1|1|105340|51|5103403|1|62940|COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA|1|0414P01|1|1|1|1|0|2952|05DEC1990:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0||4.0||||0||1||453|||||0|||||0||||||||||||||||||||40|||||0|||||0|||||||||||||||||||153|14|39|39||40|453
2019|1|1|1|1005348|51|5107602|0|84854|PSICOLOGIA|1|0313P01|1|1|1|1|0|4000|02APR2003:00:00:00||0|||||||||||||1|0|0|0|5.0|||||0||1|853|||||0|||||0||||||||||||||||||||40|||||0|||||0||||||||||||||||||||173|35|34|34||40|853
2019|1|1|1|105340|51|5103403|1|94331|MÚSICA|1|0114M02|2|1|1|1|0|3208|01MAR2005:00:00:00||1|0|0|0|0|0|1|0|0|1|0|0|0|0|0|1|0|||4.0|||0||1|||260|||||3|||||0||||||||||||||||||||40|||||5|||||0||||||||||||||||||79|11|23|20||45|263
